id,campeonatoId,rodada,partidaId,timeId,jogadorId,tempo,minuto,minutoGeral,jogador,time,horarioInt,horarioString
784,9,18,2453,37,13526,2,23:00,68,Fabio Augusto Luciano da Silva -,Criciúma,1283,21:23
785,9,18,2457,16,13551,2,51:00,96,Gustavo Cazonatti -,Chapecoense,1251,20:51
786,9,19,2469,50,13617,2,13:00,58,Mateus Ferreira da Silva -,Ponte Preta,1213,20:13
787,9,20,2470,50,13624,1,15:00,15,Matheus Sousa de Jesus -,Ponte Preta,1095,18:15
788,9,20,2471,53,13630,2,52:00,97,Emerson Oliveira de Almeida -,Sampaio Corrêa,1192,19:52
789,9,20,2475,47,13648,2,14:00,59,Anderson Conceição Benedito -,Crb,1364,22:44
790,9,20,2477,59,13660,2,53:00,98,Julimar Silva Oliveira Junior -,Mirassol,773,12:53
791,9,21,2480,10,13679,2,46:00,91,Luiz Otavio Anacleto Leandro -,Ceará,1396,23:16
792,9,21,2487,55,13718,1,43:00,43,Renato Palm da Silveira -,Novorizontino,1333,22:13
793,9,21,2487,55,13719,2,50:00,95,Luiz Gabriel de Oliveira Fonseca -,Novorizontino,1400,23:20
794,9,21,2487,55,13720,1,45:00,45,PFFabio Rogerio Jacobasso Silva -,Novorizontino,1335,22:15
795,9,21,2488,16,13726,2,50:00,95,Gabriel Augusto Xavier -,Chapecoense,1400,23:20
796,9,21,2489,3,13730,2,18:00,63,Gabriel Baralhas dos Santos -,Atlético,1368,22:48
797,9,22,2497,19,13772,2,12:00,57,Thiago Carpini Barbosa -,Juventude,1152,19:12
798,9,23,2502,46,13796,2,12:00,57,Ezequiel Jacinto de Biasi -,Londrina,1002,16:42
799,9,23,2504,55,13805,1,27:00,27,Jenison de Jesus Brito E Brito -,Novorizontino,1167,19:27
800,9,23,2504,59,13806,1,36:00,36,Jose Roberto Assunçao de Araujo Filho -,Mirassol,1176,19:36
801,9,23,2504,55,13807,1,31:00,31,Eduardo Alexandre Baptista -,Novorizontino,1171,19:31
