id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
1428,289 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,17,29,08/09/2022,21:30,1290,21,Noite,Magalhães Pinto / Belo Horizonte,20,48,6,0
1429,290 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,16,29,06/09/2022,21:30,1290,21,Noite,Onésio Brasileiro Alvarenga / Goiania,46,40,3,0
1430,291 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,32,30,13/09/2022,21:30,1290,21,Noite,Moisés Lucarelli / Campinas,35,50,3,0
1431,292 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,23,30,17/09/2022,20:30,1230,20,Noite,Rei Pelé / Maceio,42,20,4,0
1432,293 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,26,30,12/09/2022,20:00,1200,20,Noite,Adelmar da Costa Carvalho / Recife,37,21,3,0
1433,294 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,19,30,17/09/2022,16:30,990,16,Tarde,Augusto Bauer / Brusque,39,46,7,0
1434,295 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,10,30,16/09/2022,21:30,1290,21,Noite,Dr. Jorge Ismael de Biasi / Novo Horizonte,41,23,6,0
1435,296 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,28,30,13/09/2022,19:00,1140,19,Noite,Germano Kruger / Ponta Grossa,48,40,7,1
1436,297 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,7,30,16/09/2022,19:00,1140,19,Noite,São Januário / Rio de Janeiro,22,44,7,0
1437,298 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,61,30,17/09/2022,19:00,1140,19,Noite,Governador João Castelo / Sao Luis,38,33,3,0
1438,299 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,3,30,16/09/2022,21:30,1290,21,Noite,Soares de Azevedo / Muriae,47,43,5,0
1439,300 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,16,30,17/09/2022,11:00,660,11,Manha,Índio Condá / Chapeco,49,36,0,3
1440,301 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,25,31,20/09/2022,21:30,1290,21,Noite,Brinco de Ouro da Princesa / Campinas,40,41,5,0
1441,302 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,30,31,26/09/2022,20:00,1200,20,Noite,Rei Pelé / Maceio,36,47,2,0
1442,303 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,28,31,23/09/2022,19:00,1140,19,Noite,Eládio de Barros Carvalho / Recife,44,38,6,0
1443,304 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,32,31,25/09/2022,18:30,1110,18,Noite,Heriberto Hulse / Criciuma,33,49,3,0
1444,305 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,3,31,24/09/2022,11:00,660,11,Manha,Novelli Junior / Itu,50,39,4,0
1445,306 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,3,15,31,23/09/2022,21:30,1290,21,Noite,Jacy Scaff / Londrina,43,35,5,1
