id,nome,cbf
362,Gustavo Eliseo Morinigo Vazquez,TC
363,Arthur Augusto de Matos Soares,25
364,Iago Justen Maidana Martins,3
365,Juan Pablo Ramirez Velasquez,10
366,Patric Cabral Lalau,2
367,Rodrigo Henrique Santos de Souza,13
368,Iago Justen Maidana Martins -,3
369,Marlon Matheus Lopes do Nascimento,6
370,Rodrigo Henrique Santos de Souza,13
371,Vinicius Lopes da Silva,70
372,Bruno Henrique Pinto,27
373,Pedro Raul Garay da Silva,11
374,Joao Vitor Vallony da Silva,3
375,Elvis Vieira Araujo,10
376,Nathanael Ananias da Silva,40
377,Eduardo Colcenti Antunes,18
378,TGClaudio Keny,
379,Antônio Ricardo Mohamed,TC
380,Jadsom Meemyas de Oliveira da Silva,5
381,Renan Victor da Silva,19
382,Mauricio Nogueira Barbieri,TC
383,Joao Victor da Silva Marcelino,33
384,Eduardo Santos Queiroz,37
385,Alisson Euler de Freitas Castro,12
386,Gabriel Neves Perdomo,15
387,Diego Henrique Costa Barbosa,4
388,Jhojan Esmaider Julio Palacios,8
389,Erick de Arruda Serafim,11
390,Jose Roberto Assunçao de Araujo Filho,63
391,Joao Ricardo Riedi,1
392,Rodrigo Oliveira Lindoso,19
393,Severino do Ramo Clementino da Silva,2
394,Richard Candido Coelho -,25
395,Abel Fernando Moreira Ferreira,TC
396,Jadson Alves dos Santos,16
397,Jean Carlos de Souza Irmer,5
398,Vitor Gabriel Claudino Rego Ferreira,63
399,David Braz de Oliveira Filho,44
400,Gaston Ricardo Liendo,AT
401,Lucas Rafael Araujo Lima,13
402,Gustavo Eliseo Morinigo Vazquez,TC
403,Alef Mangueira Severino Pereira,11
404,Diego Churin,20
405,Hayner Willian Monjardim Cordeiro,2
406,Edson Felipe da Cruz,5
407,Edson Fernando da Silva Gomes,15
408,Henrique Adriano Buss -,3
409,Luciano Castan da Silva -,4
410,Luiz Antonio Venker Menezes,TC
411,Wanderson Maciel Sousa Campos,11
412,Gabriel Ivan Mercado,25
413,Moises Roberto Barbosa,20
414,Pedro Henrique Konzen Medina da Silva,28
415,Carlos Maria de Pena Bonino,14
416,Wesley Moraes Ferreira da Silva,9
417,Keiller da Silva Nunes,12
418,Alan Pereira Empereur,3
419,Joao Lucas de Almeida Carvalho,2
420,Luiz Fernando Iubel -,AT
421,Rafael Gustavo Meneghel Gava -,17
422,Joao Lucas de Almeida Carvalho -,2
423,Hugo Moura Arruda da Silva,17
424,Abner Vinicius da Silva Santos,16
425,Lucas Baptista Felix,97
426,Arthur Largura Chaves,31
427,Bruno Cesar Pereira Silva,8
428,William de Oliveira Pottker,90
429,Jonathan Copete Valencia,10
430,Matheus Galdezani,92
431,Everson Felipe Marques Pires,22
432,Jair Rodrigues Junior,8
433,Mariano Ferreira Filho,25
434,TGClaudio Keny,
435,Eduardo Jacinto de Biasi,22
436,Raniele Almeida Melo,14
437,Douglas Alan Schuck Friedrich -,1
438,André Trindade da Costa Neto,7
439,Yago Felipe da Costa Rocha,20
440,John Kennedy Batista de Souza,23
441,David Luiz Moreira Marinho,23
442,Gabriel Barbosa Almeida,9
443,Andreas Hugo Hoelgebaum Pereira,18
444,Matheus Franca Silva,34
445,Lazaro Vinicius Marques,13
446,David Braz de Oliveira Filho -,44
447,Rodinei Marcelo de Almeida -,22
448,Marcio Rafael Ferreira de Souza,13
449,Igor Silveira Gomes,26
450,Andre Anderson Pomilio Lima da Silva,28
451,Lucas Ribeiro dos Santos,14
452,Richardson Fernandes dos Santos,7
453,John Steven Mendoza Valencia,10
454,Geovane da Silva de Souza,21
455,Dorival Silvestre Junior,TC
456,Bruno de Jesus Pacheco,6
457,Igor Silveira Gomes -,26
458,Maycon de Andrade Barberan,5
459,Carlos Gilberto do Nascimento Silva,4
460,Gustavo Cesar Mendonça Gravino,18
461,Gabriel Vinicius Menino,25
462,Rodrigo Fernandez Cedres,14
463,Madson Ferreira dos Santos,13
464,Joao Paulo Silva Martins,34
465,Bruno Felipe de Oliveira,40
466,Vinicius Nelson de Souza Zanocelo,25
467,PFMarco Aurelio Schiavo Reis -,
468,Pedro Henrique Konzen Medina da Silva,28
469,Hayner Willian Monjardim Cordeiro,2
470,Jorge de Moura Xavier,10
471,Paulo Henrique de Oliveira Alves,96
472,Francisco Hyun Sol Kim,23
473,Yuri Oliveira Lima,50
474,Jose Romario Silva de Souza,11
475,Lucas Rafael Araujo Lima,13
476,Alerrandro Barra Mansa Realino de Souza,9
477,Jadsom Meemyas de Oliveira da Silva,5
478,Marcos Vinicios Lopes Moura,27
479,Caio Vinicius da Conceicao,15
480,FTMarcos Vinicius de Souza Duarte,
481,Luan Dias da Silva,99
482,Eric dos Santos Rodrigues -,16
483,Daniel Guedes da Silva,2
484,Alesson dos Santos Batista,7
485,Felipe Marques da Silva,11
486,Wanderson Ferreira de Oliveira,10
487,Cristhian Yonaiker Rivas Vielma,5
488,Guillermo Gabriel de Los Santos Viana,5
489,Guilherme da Trindade Dubas,18
490,Valdemir de Oliveira Soares,97
491,Alex Roberto Santana Rafael,23
492,TGJose Luiz Baptista de Leao,
493,Roberto Miguel Acuna Cabello,AT
494,Clayton Fernandes Silva,99
495,Erison Danilo de Souza,89
496,Victor Leandro Cuesta,15
