id,nome,campeonatoId,arbitroId,rodada,data,horario,horarioInt,horas,periodo,estadio,casa,visitante,numAmarelos,numVermelhos
123,124 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,7,13,19/06/2022,16:00,960,16,Tarde,Arena Corinthians / Sao Paulo,9,19,6,0
124,125 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,13,18/06/2022,21:00,1260,21,Noite,Urbano Caldeira / Santos,3,11,8,2
125,126 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,13,13,19/06/2022,18:00,1080,18,Noite,José Pinheiro Borda / Porto Alegre,1,8,11,0
126,127 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,16,13,19/06/2022,18:00,1080,18,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,12,17,1,1
127,128 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,19,13,19/06/2022,18:00,1080,18,Noite,Antônio Accioly / Goiania,14,10,7,1
128,129 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,13,18/06/2022,19:00,1140,19,Noite,Arena Pantanal / Cuiaba,13,7,3,0
129,130 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,8,13,19/06/2022,16:00,960,16,Tarde,Major Antônio Couto Pereira / Curitiba,18,5,10,1
130,131 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,22,14,25/06/2022,21:00,1260,21,Noite,Magalhães Pinto / Belo Horizonte,0,12,6,0
131,132 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,10,14,25/06/2022,19:00,1140,19,Noite,Jornalista Mário Filho / Rio de Janeiro,15,17,3,0
132,133 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,20,14,26/06/2022,18:00,1080,18,Noite,Cícero Pompeu de Toledo / Sao Paulo,4,10,7,0
133,134 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,12,14,25/06/2022,19:00,1140,19,Noite,Arena Corinthians / Sao Paulo,9,3,6,1
134,135 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,1,14,26/06/2022,16:00,960,16,Tarde,Nilton Santos / Rio de Janeiro,8,2,5,0
135,136 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,15,14,24/06/2022,21:30,1290,21,Noite,José Pinheiro Borda / Porto Alegre,1,18,6,0
136,137 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,17,14,26/06/2022,18:00,1080,18,Noite,Governador Plácido Aderaldo Castelo / Fortaleza,7,14,6,0
137,138 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,5,14,26/06/2022,18:00,1080,18,Noite,Hailé Pinheiro / Goiania,19,13,7,1
138,139 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,2,14,26/06/2022,16:00,960,16,Tarde,Aderbal Ramos da Silva / Florianopolis,16,6,5,0
139,140 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,14,25/06/2022,16:30,990,16,Tarde,Joaquim Américo Guimarães / Curitiba,5,11,5,0
140,141 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,3,15,03/07/2022,18:00,1080,18,Noite,Raimundo Sampaio / Belo Horizonte,17,19,3,0
141,142 CBF - CONFEDERAÇÃO BRASILEIRA DE FUTEBOL,0,4,15,02/07/2022,16:30,990,16,Tarde,Jornalista Mário Filho / Rio de Janeiro,2,9,3,0
