id,nome,cbf
304,Wagner Bertelli,AT
305,Wesley Ribeiro Silva,11
306,André Trindade da Costa Neto -,7
307,Igor Gomes Silva,21
308,Gabriel de Sousa Barros,42
309,Hugo Moura Arruda da Silva,17
310,Pedro Henrique Ribeiro Goncalves,34
311,Vitor Frezarin Bueno,8
312,Bento Matheus Krepski,1
313,Jose Roberto Assunçao de Araujo Filho,18
314,Natanael Moreira Milouski,16
315,Matias Galarza Fonda,19
316,Rai dos Reis Ramos,34
317,Gabriel Neves Perdomo,20
318,Rodrigo Nestor Bertalia,11
319,Alisson Euler de Freitas Castro,7
320,Emanuel Britez,19
321,Glaybson Yago Souza Lisbôa,22
322,Rodrigo Nestor Bertalia -,11
323,Emanuel Britez -,19
324,Federico Matias Zaracho,15
325,Eduardo Jesus Vargas Rojas,11
326,Marllon Goncalves Jeronimo Borges,4
327,Claudio Rodrigues Gomes,23
328,Giovanni Manson Ribeiro,37
329,Jhon Adolfo Arias Andrade,21
330,Walter Leandro Capeloza Artune,1
331,Denilson Alves Borges,27
332,Matheus Alexandre Anastacio de Souza,2
333,Mateus da Silva Duarte,98
334,Nathan Santos de Araújo,22
335,Odair Hellmann,TC
336,Erick Marcus dos Santos Oliveira do Carmo,16
337,Jose Luis Rodriguez Bebanz,2
338,Robson Alves de Barros,30
339,Leonardo Pinheiro da Conceicao,3
340,Abel Fernando Moreira Ferreira,TC
341,Gustavo Raul Gomez Portillo,15
342,Luis Antonio da Rocha Junior,29
343,Cleiton Schwengber,1
344,Alerrandro Barra Mansa Realino de Souza,9
345,Eric dos Santos Rodrigues,7
346,TGJose Francisco Belman Gonzales,
347,Fagner Conserva Lemos,23
348,Carlos Gilberto do Nascimento Silva,4
349,Lucas Lopes Beraldo,35
350,Caio Fernando de Oliveira,38
351,Marcio Rafael Ferreira de Souza,13
352,Luciano da Rocha Neves,10
353,Lucas Khodor Silvestre -,AT
354,Willian Osmar de Oliveira Silva,12
355,Magno Jose da Silva,2
356,Lucas Halter,3
357,Matheus Vieira Campos Peixoto,17
358,Jose Ricardo Araujo Fernandes,5
359,Vinicius Rodrigues Adelino dos Santos,95
360,Fernando Marcal de Oliveira,21
361,Luis Geovanny Segovia Vega,4
362,Adryelson Shawann Lima Silva,34
363,Cristian David Pavon,9
364,Jemerson de Jesus Nascimento,34
365,Alexandre Zurawski,35
366,Nicolas Hernandez Rodriguez,22
367,Romulo Zanre Zwarg,40
368,Walter Kannemann,4
369,Reinaldo Manoel da Silva,22
370,Mathias Adalberto Villasanti Rolon,20
371,Calebe Gonçalves Ferreira da Silva,27
372,Christian Chagas Tarouco,4
373,Brayan Andres Ceballos Jimenez,3
374,Gaston Ricardo Liendo,AT
375,Lucas Pacheco Affini,88
376,Damian Marcelino Moreno,10
377,Bruno Gomes da Silva Clevelario,6
378,Marcos Vinicius da Silva Santos,22
379,Fernando Augusto Pereira Bueno Junior,6
380,Fernando Luiz Roza,5
381,Vitor Frezarin Bueno,8
382,Arturo Erasmo Vidal Pardo,32
383,Fabricio Bruno Soares de Faria,15
384,Leonardo Pereira,4
385,Ayrton Lucas Dantas de Medeiros,6
386,Giorgian Daniel de Arrascaeta Benedetti,14
387,David de Duarte Macedo,33
388,Ademir da Silva Santos Junior,7
389,Yago Felipe da Costa Rocha,20
390,Vitor Hugo Franchescoli de Souza,31
391,Victor Hugo Soares dos Santos,4
392,Julio Cesar de Rezende Miranda,5
393,Julio Cesar de Rezende Miranda -,5
394,Victor Hugo Soares dos Santos -,4
395,Aloisio dos Santos Goncalves,99
396,Ricardo Cesar Dantas da Silva,45
397,Bruno Mendez Cittadini,25
398,Cassio Ramos,12
399,Cristian Roberto Aran,AT
400,Leanderson da Silva Genesio,99
401,Marcilio Florencio Mota Filho,33
402,Francisco das Chagas Soares dos Santos,9
403,Fernando Marcal de Oliveira,21
404,Victor Leandro Cuesta,15
405,Luis Manuel Ribeiro de Castro,TC
406,Carlos Eduardo de Oliveira Alves,33
407,Lucas Figueiredo dos Santos,15
408,Jair Rodrigues Junior,8
409,Cauan Lucas Barros da Luz,88
410,Pedro Raul Garay da Silva,9
411,Raphael Cavalcante Veiga,23
412,Angelo Gabriel Borges Damaceno,11
413,Douglas Moreira Fagundes,19
414,Daniel Felipe Ruiz Rivera,7
415,Cleiton Schwengber,1
416,Eduardo Colcenti Antunes,19
417,Jadsom Meemyas de Oliveira da Silva,5
418,Madson Ferreira dos Santos,22
419,Agustin Canobbio Graviz,14
420,Thiago Eduardo de Andrade,19
421,Wellington Alves da Silva,11
422,Denilson Alves Borges,27
423,Fernando Pereira do Nascimento,88
424,Gilberto Oliveira Souza Junior,21
425,Gustavo Campanharo,17
426,Walter Kannemann,4
427,Walter Kannemann -,4
428,Hyoran Kaue Dalmoro,20
429,Givanildo Vieira de Sousa,7
430,Paolo Mauricio Lemos Merladett,28
431,Eduardo Jesus Vargas Rojas,11
432,Igor Silveira Gomes,17
433,Renzo Saravia,26
434,Patrick Bezerra do Nascimento,49
435,Igor Matheus Liziero Pereira,31
436,Jose Roberto Assunçao de Araujo Filho,18
437,Natanael Moreira Milouski,16
438,Robson dos Santos Fernandes,30
439,Jose Roberto Assunçao de Araujo Filho -,18
440,Paolo Mauricio Lemos Merladett -,28
441,Leandro Campos Borges,AT
442,Alesson dos Santos Batista,27
443,Magno Jose da Silva,2
444,Emerson Rodrigues de Avila,TC
445,Jose Ricardo Araujo Fernandes,5
446,Ryan Carlos Santos de Sousa,66
447,Brayan Andres Ceballos Jimenez,3
448,Moises Vieira da Veiga,21
449,Renato Marques de Oliveira Junior,78
450,Marcio Almeida de Oliveira,25
451,Danilo Fernando Avelar,22
452,Lucas Kal Schenfeld Prigioli,21
453,Thiago Maia Alencar,8
454,Gabriel Barbosa Almeida,10
455,Gerson Santos da Silva,20
456,Ayrton Lucas Dantas de Medeiros,6
457,Igor Marques Paciencia Cardoso,33
458,William de Asevedo Furtado,12
459,Wesley Ribeiro Silva,11
460,Matheus Isaias dos Santos,18
461,Rafael Cabral Barbosa,1
462,Iago Justen Maidana Martins,3
463,Marcio Almeida de Oliveira,25
464,Renato Marques de Oliveira Junior,78
465,Victor Leandro Cuesta,15
466,Fernando Marcal de Oliveira,21
467,Alan Javier Franco,28
468,Wellington Soares da Silva,27
469,Dorival Silvestre Junior,TC
470,Jackson Diego Ibraim Fagundes,20
471,Lucas Halter,3
472,Bruno Araujo Santos,13
473,Fellipe Ramos Ignez Bastos,8
474,Matheus Lima Beltrao Oliveira,21
475,Carlos Gilberto do Nascimento Silva,4
476,Fausto Mariano Vera,5
