id,nome,cbf
319,Alisson Euler de Freitas Castro,25
320,Antonio Feliphe Costa Silva,23
321,Pedro Augusto Borges da Costa,28
322,Leandro Emmanuel Martinez,8
323,Madson Ferreira dos Santos,22
324,Christian Roberto Alves Cardoso,88
325,Jose Vitor Silva Neves,30
326,Rafael Santos Borre Maury,19
327,Clayson Henrique da Silva Vieira,25
328,Denilson Alves Borges,27
329,Ramon Ramos Lima,23
330,Gabriel Ivan Mercado,25
331,Eliel Chrystian Pereira Silva,11
332,Matheus Leonardo Sales Cardoso,17
333,Gustavo Bonatto Barreto,88
334,Higor Matheus Meritao,5
335,Rodrigo Fagundes de Freitas,150
336,Luiz Gustavo Almeida Pinto,1
337,Fernando Francisco Reges,5
338,Vitor Eduardo da Silva Matos,44
339,Fabricio Tomas Bustos Sein,16
340,Luiz Gustavo Dias,16
341,Charles Mariano Aranguiz Sandoval,20
342,Giuliano Galoppo,8
343,Jonathan Calleri,9
344,Ramon Ramos Lima,23
345,Rafael da Silva,8
346,Anderson Silva da Paix,98
347,Matheus Fellipe Costa Pereira,10
348,Victor Hugo Soares dos Santos,4
349,Caio Alexandre Sousa E Silva,19
350,Tomas Pochettino,7
351,Marcos Felipe de Freitas Monteiro,22
352,Yago Felipe da Costa Rocha,20
353,Pedro Guilherme Abreu dos Santos,9
354,Joao Pedro Maturano dos Santos,18
355,Everton Galdino Moreira,13
356,Felipe Ignacio Carballo Ares,8
357,Matheus Martinelli Lima,8
358,Francisco das Chagas Soares dos Santos,9
359,Marcelo Vieira da Silva Junior,12
360,Damian Nicolas Su,22
361,Ronielson da Silva Barbosa,10
362,Renzo Saravia,26
363,Everson Felipe Marques Pires,22
364,Lucas Evangelista Santana de Oliveira,8
365,Thiago Nicolas Borbas Silva,18
366,Rodrigo Andr,21
367,Luis Antonio da Rocha Junior,29
368,Bruno de Lara Fuchs,3
369,Paolo Mauricio Lemos Merladett,4
370,Eder Citadin Martins,23
371,Gabriel Baralhas dos Santos,8
372,Rodrigo Garro,10
373,Gustavo Henrique Vernes,13
374,Yuri Alberto Monteiro da Silva,9
375,Guilherme Kennedy Romao,6
376,Carlos Miguel dos Santos Pereira,22
377,Caio Vinicius da Conceicao,15
378,Willian Osmar de Oliveira Silva,29
379,Lucas Willians Assis Arcanjo,1
380,Lucas Henrique Barbosa,21
381,Leonardo Naldi de Matos,5
382,Jadson Alves dos Santos,16
383,Gustavo Nunes Fernandes Gomes,39
384,Gregore de Magalhaes Silva,26
385,Felipe Ignacio Carballo Ares,8
386,Damian Nicolas Su,22
387,Everton Galdino Moreira,13
388,Yarlen Faustino Augusto,67
389,Igor Rabello da Costa,16
390,Givanildo Vieira de Sousa,7
391,Gustavo Henrique Furtado Scarpa,6
392,Anibal Ismael Moreno,5
393,Estevao Willian Almeida de Oliveira Goncalves,41
394,Federico Matias Zaracho,15
395,Matheus dos Santos Dias,41
396,Vitor Eduardo da Silva Matos,44
397,Bruno Henrique Corsini,8
398,Willean Bernardo Willemen,97
399,Samuel Xavier Brito,2
400,Paulo Henrique Chagas de Lima,10
401,Adriano Martins da Fonseca  Goianiense Saf,3
402,Lucas Daniel Romero,29
403,Arthur Rodrigues Viana,68
404,Ramiro Moschen Benetti,17
405,William de Asevedo Furtado,12
406,Young Navarro Moraes,50
407,Diego Henrique Costa Barbosa,4
408,Luciano da Rocha Neves,10
409,Carlos Miguel dos Santos Pereira,22
410,Joao Victor Andrade Caetano,4
411,Breno de Souza Bidon,27
412,Lucas Rodrigues Moura da Silva,7
413,Lucas de Souza Cunha,4
