id,nome,cbf
314,Joao Felipe Schmidt Urbano,5
315,Alfredo Jose Morelos Avilez,30
316,Luis Fernando Haquin Lopez,23
317,Eduardo Vinicius Domachowski,3
318,Ronaldo Cesar Mendes de Medeiros,17
319,Pedro Henrique Rocha da Silva,1
320,Wellison Matheus Rodrigues Regis -,77
321,Facundo Labandeira Castro,30
322,Cristiano Claudinei Nogueira,5
323,Leonardo Augusto dos Santos Pereira,38
324,Joao Pedro Mendes Santos,33
325,Luiz Diallisson de Souza Alves,22
326,Caio Cesar da Silva Silveira,6
327,Rafael Antonio Figueiredo Ramos,6
328,Cassio Gabriel Vilela Ferreira,10
329,Yago Lincoln Rocha Santos,96
330,Richardson Fernandes dos Santos,26
331,Rai dos Reis Ramos,2
332,Aylon Darwin Tavella,11
333,Jean Carlos de Souza Irmer,5
334,Matheus Bahia Santos,79
335,Rodrigo Oliveira Lindoso,19
336,Kevyn Lucas Ramos da Costa,36
337,Joao Pedro Vieira,8
338,Bryan Borges Mascarenhas,21
339,Rafael Aparecido de Paulo Tavares,10
340,Yeferson Agustin Quintana Alonso,3
341,Matheus dos Santos Miranda,3
342,Fabiano da Silva Souza,6
343,Wesley Fraga,39
344,Crystopher Ribeiro Oliveira -,38
345,Matheus dos Santos Miranda -,3
346,Tiago Pagnussat,3
347,Alan Nahuel Ruiz,10
348,Ronaldo Henrique Ferreira da Silva,28
349,Jose Roberto Assunçao de Araujo Filho,99
350,Mauricio Garcez de Jesus,11
351,Alan Nahuel Ruiz -,10
352,Jose Roberto Assunçao de Araujo Filho -,99
353,Juan Christian Pereira Coelho,70
354,Mateus Cardoso Francisco,99
355,Rhuan Ferreira Ramos,6
356,Geremias Ribeiro Junior,29
357,Matheus Nogueira da Silva,1
358,Dionisio Pereira de Souza Neto,7
359,Luiz Henrique dos Santos Junior -,21
360,Yeferson Agustin Quintana Alonso,3
361,Reinaldo Nascimento Satorno,20
362,Leandro Vilela Sales Teixeira,28
363,Diogo Mateus de Almeida Rodrigues Maciel,13
364,Ruan Ribeiro Rodrigues,26
